lga;census_year;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2021;Northern Territory;Papua New Guinea;0.0;13.0;18.0;64.0;83.0;39.0;25.0;3.0;0.0;245.0
Darwin (C);2016;Northern Territory;Lebanon;0.0;0.0;6.0;23.0;6.0;0.0;0.0;0.0;0.0;44.0
Darwin (C);2016;Northern Territory;South Eastern Europe, nfd(d);0.0;0.0;0.0;3.0;7.0;6.0;5.0;8.0;0.0;27.0
Darwin (C);2016;Northern Territory;Sri Lanka;16.0;58.0;35.0;264.0;62.0;43.0;31.0;19.0;3.0;526.0
Darwin (C);2016;Northern Territory;Taiwan;13.0;4.0;32.0;346.0;9.0;5.0;0.0;3.0;0.0;416.0
Darwin (C);2016;Northern Territory;The Former Yugoslav Republic of Macedonia;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;10.0
Darwin (C);2016;Northern Territory;Germany;0.0;11.0;22.0;164.0;57.0;48.0;90.0;39.0;7.0;445.0
Darwin (C);2016;Northern Territory;Ireland;6.0;35.0;42.0;541.0;18.0;28.0;25.0;8.0;5.0;702.0
Darwin (C);2016;Northern Territory;Mauritius;0.0;4.0;3.0;21.0;6.0;3.0;0.0;3.0;0.0;41.0
Darwin (C);2016;Northern Territory;Philippines;61.0;392.0;420.0;1580.0;466.0;302.0;107.0;27.0;14.0;3368.0
Darwin (C);2016;Northern Territory;France;3.0;10.0;23.0;110.0;27.0;7.0;20.0;3.0;0.0;218.0
Darwin (C);2016;Northern Territory;Zimbabwe;3.0;15.0;27.0;130.0;31.0;23.0;5.0;0.0;0.0;234.0
Darwin;2021;Northern Territory;China (excludes SARs and Taiwan)(c);8.0;43.0;148.0;689.0;146.0;78.0;63.0;22.0;14.0;1213.0
Darwin;2021;Northern Territory;Country of birth not stated;317.0;710.0;780.0;2365.0;817.0;648.0;420.0;184.0;85.0;6322.0
Darwin (C);2016;Northern Territory;India;66.0;173.0;186.0;1321.0;181.0;110.0;48.0;19.0;6.0;2106.0
Darwin;2021;Northern Territory;Turkey;0.0;0.0;0.0;14.0;3.0;9.0;3.0;3.0;0.0;36.0
Darwin (C);2016;Northern Territory;Hong Kong (SAR of China)(c);0.0;3.0;14.0;66.0;33.0;49.0;19.0;8.0;3.0;194.0
Darwin;2021;Northern Territory;France;0.0;0.0;8.0;95.0;17.0;15.0;14.0;9.0;0.0;168.0
Darwin;2021;Northern Territory;Poland;0.0;0.0;3.0;37.0;8.0;11.0;11.0;3.0;0.0;70.0
Darwin;2021;Northern Territory;Canada;4.0;5.0;5.0;84.0;26.0;20.0;21.0;12.0;0.0;185.0
Darwin;2021;Northern Territory;Philippines;16.0;294.0;438.0;1405.0;577.0;337.0;203.0;57.0;9.0;3331.0
Darwin (C);2016;Northern Territory;China (excludes SARs and Taiwan)(c);11.0;75.0;130.0;456.0;147.0;48.0;50.0;22.0;9.0;953.0
Darwin (C);2016;Northern Territory;Croatia;0.0;0.0;0.0;0.0;3.0;0.0;9.0;3.0;0.0;18.0
Darwin (C);2016;Northern Territory;Italy;0.0;12.0;19.0;87.0;30.0;45.0;65.0;55.0;12.0;320.0
Darwin;2021;Northern Territory;South Africa;7.0;44.0;37.0;164.0;68.0;33.0;14.0;11.0;0.0;371.0
Darwin;2021;Northern Territory;Chile;0.0;0.0;3.0;26.0;7.0;4.0;0.0;6.0;0.0;45.0
Darwin;2021;Northern Territory;Korea, Republic of (South);6.0;12.0;17.0;144.0;20.0;4.0;0.0;0.0;0.0;201.0
Darwin;2021;Northern Territory;Scotland;0.0;5.0;7.0;68.0;41.0;66.0;42.0;40.0;9.0;276.0
Darwin (C);2016;Northern Territory;Iraq;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;12.0
Darwin (C);2016;Northern Territory;Japan;25.0;43.0;8.0;154.0;50.0;13.0;6.0;4.0;0.0;311.0
Darwin (C);2016;Northern Territory;Netherlands;0.0;8.0;3.0;44.0;27.0;27.0;43.0;10.0;0.0;169.0
Darwin (C);2016;Northern Territory;United States of America;9.0;36.0;32.0;115.0;50.0;27.0;29.0;5.0;0.0;306.0
Darwin;2021;Northern Territory;Egypt;0.0;0.0;8.0;22.0;5.0;5.0;5.0;3.0;0.0;47.0
Darwin;2021;Northern Territory;Germany;0.0;5.0;11.0;119.0;53.0;44.0;56.0;71.0;16.0;375.0
Darwin;2021;Northern Territory;Indonesia;12.0;59.0;97.0;424.0;173.0;94.0;70.0;23.0;0.0;965.0
Darwin (C);2016;Northern Territory;Canada;3.0;8.0;10.0;77.0;26.0;28.0;24.0;3.0;0.0;179.0
Darwin (C);2016;Northern Territory;Malaysia;3.0;31.0;23.0;168.0;72.0;83.0;59.0;40.0;0.0;477.0
Darwin;2021;Northern Territory;Mauritius;0.0;0.0;0.0;30.0;3.0;7.0;3.0;0.0;5.0;50.0
Darwin;2021;Northern Territory;Greece;3.0;48.0;94.0;219.0;114.0;143.0;220.0;146.0;24.0;1009.0
Darwin;2021;Northern Territory;Thailand;6.0;51.0;72.0;214.0;111.0;69.0;36.0;10.0;4.0;567.0
Darwin (C);2016;Northern Territory;Bosnia and Herzegovina;0.0;0.0;0.0;12.0;5.0;4.0;8.0;0.0;0.0;23.0
Darwin (C);2016;Northern Territory;Pakistan;10.0;23.0;30.0;148.0;17.0;9.0;0.0;0.0;0.0;240.0
Darwin (C);2016;Northern Territory;Turkey;0.0;3.0;0.0;14.0;3.0;3.0;5.0;0.0;0.0;31.0
Darwin;2021;Northern Territory;Hong Kong (SAR of China)(c);0.0;16.0;9.0;112.0;28.0;31.0;35.0;8.0;4.0;239.0
Darwin;2021;Northern Territory;Iran;0.0;3.0;6.0;49.0;14.0;8.0;0.0;4.0;0.0;74.0
Darwin;2021;Northern Territory;Italy;0.0;9.0;8.0;110.0;27.0;33.0;60.0;56.0;23.0;313.0
Darwin;2021;Northern Territory;Netherlands;0.0;3.0;0.0;38.0;10.0;18.0;33.0;21.0;5.0;130.0
Darwin;2021;Northern Territory;Taiwan;11.0;25.0;3.0;270.0;10.0;4.0;4.0;0.0;0.0;320.0
Darwin (C);2016;Northern Territory;Afghanistan;0.0;0.0;8.0;23.0;3.0;0.0;0.0;0.0;0.0;39.0
Darwin (C);2016;Northern Territory;England;29.0;139.0;185.0;752.0;527.0;451.0;369.0;128.0;39.0;2616.0
Darwin (C);2016;Northern Territory;Poland;0.0;3.0;0.0;36.0;4.0;16.0;5.0;5.0;0.0;68.0
Darwin;2021;Northern Territory;Samoa;0.0;0.0;3.0;4.0;3.0;0.0;6.0;0.0;0.0;19.0
Darwin (C);2016;Northern Territory;Fiji;3.0;14.0;17.0;77.0;23.0;17.0;7.0;0.0;3.0;159.0
Darwin;2021;Northern Territory;Brazil;0.0;11.0;9.0;107.0;6.0;3.0;0.0;0.0;0.0;142.0
Darwin;2021;Northern Territory;Croatia;0.0;0.0;0.0;0.0;0.0;0.0;8.0;4.0;0.0;14.0
Darwin;2021;Northern Territory;Zimbabwe;0.0;11.0;20.0;97.0;35.0;20.0;5.0;0.0;0.0;186.0
Darwin;2021;Northern Territory;Fiji;4.0;12.0;17.0;85.0;46.0;30.0;15.0;3.0;0.0;204.0
Darwin (C);2016;Northern Territory;Myanmar;3.0;5.0;8.0;86.0;31.0;12.0;0.0;5.0;0.0;157.0
Darwin;2021;Northern Territory;Ireland;3.0;28.0;30.0;280.0;26.0;20.0;22.0;8.0;0.0;427.0
Darwin (C);2016;Northern Territory;Singapore;3.0;11.0;15.0;75.0;30.0;40.0;25.0;15.0;0.0;208.0
Darwin;2021;Northern Territory;Bosnia and Herzegovina;0.0;4.0;4.0;11.0;7.0;4.0;7.0;4.0;0.0;28.0
Darwin;2021;Northern Territory;India;30.0;206.0;261.0;1907.0;257.0;166.0;93.0;33.0;9.0;2964.0
Darwin;2021;Northern Territory;Myanmar;0.0;4.0;13.0;63.0;33.0;16.0;13.0;7.0;0.0;143.0
Darwin;2021;Northern Territory;Nepal;0.0;62.0;363.0;1814.0;38.0;17.0;5.0;0.0;0.0;2305.0
Darwin;2021;Northern Territory;Wales;0.0;3.0;7.0;30.0;6.0;5.0;19.0;5.0;0.0;72.0
Darwin;2021;Northern Territory;Born elsewhere(d);26.0;233.0;248.0;1075.0;554.0;455.0;362.0;198.0;65.0;3214.0
Darwin (C);2016;Northern Territory;Bangladesh;3.0;7.0;69.0;170.0;14.0;10.0;5.0;3.0;0.0;279.0
Darwin (C);2016;Northern Territory;Nepal;10.0;45.0;184.0;624.0;22.0;14.0;3.0;0.0;0.0;895.0
Darwin (C);2016;Northern Territory;Cambodia;0.0;6.0;6.0;29.0;11.0;6.0;5.0;0.0;0.0;63.0
Darwin (C);2016;Northern Territory;Iran;4.0;9.0;3.0;81.0;9.0;0.0;0.0;0.0;0.0;106.0
Darwin (C);2016;Northern Territory;Korea, Republic of (South);3.0;18.0;34.0;165.0;16.0;0.0;0.0;0.0;0.0;241.0
Darwin (C);2016;Northern Territory;Northern Ireland;3.0;3.0;4.0;31.0;13.0;12.0;10.0;3.0;0.0;83.0
Darwin;2021;Northern Territory;Pakistan;15.0;36.0;47.0;316.0;30.0;17.0;3.0;0.0;0.0;465.0
Darwin;2021;Northern Territory;Australia(b);4527.0;7445.0;5823.0;13522.0;5821.0;4987.0;3186.0;1146.0;217.0;46679.0
Darwin;2021;Northern Territory;England;7.0;108.0;142.0;596.0;354.0;468.0;350.0;176.0;43.0;2238.0
Darwin;2021;Northern Territory;Iraq;0.0;0.0;5.0;3.0;4.0;0.0;0.0;0.0;0.0;13.0
Darwin (C);2016;Northern Territory;New Zealand;18.0;66.0;102.0;528.0;334.0;337.0;163.0;48.0;9.0;1601.0
Darwin (C);2016;Northern Territory;Thailand;21.0;51.0;73.0;208.0;101.0;47.0;19.0;13.0;0.0;529.0
Darwin (C);2016;Northern Territory;Wales;0.0;0.0;9.0;34.0;13.0;9.0;19.0;3.0;0.0;85.0
Darwin;2021;Northern Territory;Japan;0.0;13.0;3.0;66.0;28.0;7.0;3.0;3.0;0.0;136.0
Darwin;2021;Northern Territory;Malta;0.0;0.0;0.0;0.0;6.0;3.0;5.0;0.0;0.0;16.0
Darwin;2021;Northern Territory;Singapore;3.0;16.0;10.0;64.0;26.0;38.0;29.0;17.0;0.0;206.0
Darwin;2021;Northern Territory;Cambodia;0.0;15.0;10.0;41.0;16.0;3.0;6.0;4.0;0.0;90.0
Darwin;2021;Northern Territory;Lebanon;0.0;0.0;0.0;23.0;4.0;4.0;0.0;0.0;0.0;34.0
Darwin (C);2016;Northern Territory;Papua New Guinea;0.0;10.0;14.0;103.0;76.0;33.0;13.0;6.0;0.0;249.0
Darwin (C);2016;Northern Territory;Vietnam;7.0;28.0;59.0;217.0;76.0;58.0;29.0;10.0;0.0;472.0
Darwin (C);2016;Northern Territory;Born elsewhere(e);56.0;234.0;258.0;1129.0;556.0;387.0;274.0;158.0;32.0;3086.0
Darwin (C);2016;Northern Territory;Australia(b);4367.0;6609.0;5950.0;14031.0;5873.0;4795.0;2377.0;722.0;230.0;44953.0
Darwin (C);2016;Northern Territory;Chile;0.0;0.0;0.0;7.0;8.0;3.0;3.0;0.0;0.0;33.0
Darwin;2021;Northern Territory;Bangladesh;0.0;24.0;83.0;363.0;26.0;13.0;6.0;3.0;0.0;523.0
Darwin (C);2016;Northern Territory;Country of Birth Not stated;543.0;812.0;1080.0;3448.0;1209.0;990.0;564.0;188.0;59.0;8890.0
Darwin;2021;Northern Territory;Sri Lanka;10.0;87.0;67.0;521.0;95.0;55.0;35.0;25.0;8.0;894.0
Darwin;2021;Northern Territory;United States of America;7.0;34.0;16.0;110.0;48.0;37.0;26.0;10.0;5.0;295.0
Darwin;2021;Northern Territory;Vietnam;7.0;56.0;98.0;405.0;93.0;74.0;47.0;7.0;0.0;780.0
Darwin;2021;Northern Territory;Afghanistan;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;17.0
Darwin;2021;Northern Territory;New Zealand;9.0;45.0;75.0;369.0;267.0;301.0;202.0;63.0;9.0;1347.0
Darwin (C);2016;Northern Territory;Egypt;0.0;8.0;3.0;10.0;7.0;4.0;3.0;0.0;0.0;41.0
Darwin (C);2016;Northern Territory;Indonesia;13.0;47.0;101.0;337.0;123.0;62.0;55.0;4.0;0.0;744.0
Darwin (C);2016;Northern Territory;Malta;0.0;0.0;0.0;0.0;3.0;3.0;3.0;3.0;0.0;18.0
Darwin (C);2016;Northern Territory;Scotland;5.0;16.0;15.0;91.0;67.0;67.0;52.0;32.0;5.0;343.0
Darwin (C);2016;Northern Territory;South Africa;6.0;30.0;40.0;160.0;62.0;26.0;18.0;10.0;0.0;345.0
Darwin;2021;Northern Territory;Malaysia;3.0;27.0;39.0;167.0;67.0;70.0;74.0;49.0;7.0;505.0
Darwin;2021;Northern Territory;North Macedonia;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;5.0
Darwin (C);2016;Northern Territory;Greece;14.0;96.0;107.0;271.0;127.0;198.0;193.0;100.0;14.0;1125.0
