lga;census_year;state;category;sub_category;speaks_english_only;very_well_or_well;not_well_or_not_at_all;total_1;not_stated_b;total_2
Darwin;2021;Northern Territory;;Japanese;;125.0;10.0;137.0;0.0;136.0
Darwin;2021;Northern Territory;;Serbian;;32.0;0.0;34.0;0.0;34.0
Darwin (C);2016;Northern Territory;Indo-Aryan languages;Punjabi;;332.0;28.0;359.0;4.0;363.0
Darwin;2021;Northern Territory;;French;;271.0;11.0;284.0;11.0;294.0
Darwin (C);2016;Northern Territory;;Arabic;;203.0;11.0;215.0;3.0;218.0
Darwin (C);2016;Northern Territory;Chinese languages;Other(c);;401.0;130.0;538.0;3.0;535.0
Darwin (C);2016;Northern Territory;;Vietnamese;;464.0;120.0;588.0;0.0;593.0
Darwin;2021;Northern Territory;;Afrikaans;;118.0;3.0;123.0;4.0;126.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Urdu;;562.0;28.0;585.0;7.0;599.0
Darwin;2021;Northern Territory;;Italian;;388.0;28.0;412.0;10.0;418.0
Darwin;2021;Northern Territory;;Polish;;59.0;0.0;56.0;0.0;60.0
Darwin;2021;Northern Territory;Southeast Asian Austronesian languages;Other(e);;577.0;50.0;624.0;3.0;627.0
Darwin;2021;Northern Territory;;Turkish;;37.0;5.0;44.0;0.0;44.0
Darwin (C);2016;Northern Territory;;Dutch;;106.0;3.0;107.0;0.0;107.0
Darwin (C);2016;Northern Territory;;Other(f);;2712.0;499.0;3206.0;76.0;3285.0
Darwin;2021;Northern Territory;;Greek;;2259.0;416.0;2681.0;10.0;2690.0
Darwin;2021;Northern Territory;;Portuguese;;380.0;40.0;426.0;4.0;429.0
Darwin (C);2016;Northern Territory;;Australian Indigenous Languages;;683.0;54.0;740.0;31.0;771.0
Darwin (C);2016;Northern Territory;Indo-Aryan languages;Hindi;;496.0;19.0;511.0;9.0;518.0
Darwin (C);2016;Northern Territory;;Japanese;;216.0;101.0;316.0;0.0;316.0
Darwin (C);2016;Northern Territory;;Maltese;;0.0;0.0;0.0;0.0;0.0
Darwin (C);2016;Northern Territory;;French;;323.0;35.0;356.0;8.0;362.0
Darwin;2021;Northern Territory;;Samoan;;28.0;0.0;28.0;0.0;28.0
Darwin (C);2016;Northern Territory;;Spanish;;234.0;19.0;257.0;3.0;260.0
Darwin;2021;Northern Territory;;Arabic;;181.0;15.0;196.0;5.0;198.0
Darwin;2021;Northern Territory;;Croatian;;15.0;3.0;15.0;0.0;15.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Bengali;;521.0;18.0;534.0;3.0;542.0
Darwin;2021;Northern Territory;Southeast Asian Austronesian languages;Tagalog;;1565.0;46.0;1609.0;15.0;1628.0
Darwin (C);2016;Northern Territory;;Speaks English only;49114.0;;;;;49114.0
Darwin (C);2016;Northern Territory;Indo-Aryan languages;Sinhalese;;329.0;13.0;339.0;0.0;344.0
Darwin (C);2016;Northern Territory;;Polish;;68.0;3.0;71.0;0.0;71.0
Darwin (C);2016;Northern Territory;;Tamil;;332.0;36.0;368.0;0.0;369.0
Darwin (C);2016;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;720.0;85.0;805.0;3.0;813.0
Darwin (C);2016;Northern Territory;;Thai;;374.0;109.0;482.0;7.0;490.0
Darwin;2021;Northern Territory;;Australian Indigenous Languages;;794.0;74.0;866.0;34.0;903.0
Darwin;2021;Northern Territory;;German;;310.0;8.0;328.0;4.0;331.0
Darwin;2021;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;801.0;98.0;903.0;11.0;914.0
Darwin (C);2016;Northern Territory;;German;;387.0;10.0;398.0;0.0;403.0
Darwin (C);2016;Northern Territory;Indo-Aryan languages;Bengali;;300.0;17.0;315.0;0.0;316.0
Darwin (C);2016;Northern Territory;;Korean;;157.0;60.0;217.0;0.0;219.0
Darwin (C);2016;Northern Territory;;Italian;;442.0;38.0;476.0;3.0;475.0
Darwin (C);2016;Northern Territory;Southeast Asian Austronesian languages;Filipino;;1115.0;42.0;1154.0;10.0;1168.0
Darwin (C);2016;Northern Territory;;Turkish;;32.0;6.0;35.0;0.0;35.0
Darwin;2021;Northern Territory;Chinese languages;Other(c);;391.0;150.0;538.0;0.0;539.0
Darwin;2021;Northern Territory;;Khmer;;75.0;18.0;95.0;0.0;94.0
Darwin;2021;Northern Territory;;Language used at home not stated;;532.0;86.0;619.0;6263.0;6882.0
Darwin;2021;Northern Territory;;Vietnamese;;693.0;180.0;875.0;0.0;873.0
Darwin (C);2016;Northern Territory;;Persian (excluding Dari);;83.0;13.0;97.0;0.0;100.0
Darwin;2021;Northern Territory;;Speaks English only;48953.0;;;;;48953.0
Darwin;2021;Northern Territory;;Korean;;144.0;40.0;183.0;0.0;183.0
Darwin;2021;Northern Territory;;Russian;;85.0;3.0;91.0;0.0;91.0
Darwin;2021;Northern Territory;;Macedonian;;11.0;0.0;11.0;0.0;11.0
Darwin;2021;Northern Territory;;Tamil;;342.0;35.0;377.0;0.0;378.0
Darwin (C);2016;Northern Territory;;Russian;;77.0;6.0;78.0;0.0;79.0
Darwin (C);2016;Northern Territory;Chinese languages;Mandarin;;1162.0;437.0;1598.0;11.0;1612.0
Darwin;2021;Northern Territory;Chinese languages;Mandarin;;1441.0;286.0;1728.0;11.0;1735.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Gujarati;;301.0;17.0;314.0;0.0;315.0
Darwin;2021;Northern Territory;;Thai;;402.0;114.0;513.0;0.0;513.0
Darwin;2021;Northern Territory;;Other(f);;2610.0;381.0;2994.0;95.0;3090.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Punjabi;;743.0;62.0;804.0;16.0;821.0
Darwin;2021;Northern Territory;;Spanish;;388.0;27.0;409.0;9.0;419.0
Darwin (C);2016;Northern Territory;Indo-Aryan languages;Urdu;;253.0;23.0;280.0;0.0;283.0
Darwin (C);2016;Northern Territory;;Serbian;;46.0;0.0;46.0;0.0;46.0
Darwin (C);2016;Northern Territory;;Croatian;;19.0;3.0;20.0;0.0;25.0
Darwin (C);2016;Northern Territory;;Language spoken at home not stated;;230.0;42.0;275.0;8274.0;8549.0
Darwin;2021;Northern Territory;;Malayalam;;866.0;56.0;925.0;10.0;936.0
Darwin;2021;Northern Territory;Southeast Asian Austronesian languages;Filipino;;1054.0;33.0;1095.0;15.0;1107.0
Darwin (C);2016;Northern Territory;;Afrikaans;;90.0;3.0;93.0;0.0;93.0
Darwin (C);2016;Northern Territory;;Macedonian;;12.0;0.0;12.0;0.0;12.0
Darwin (C);2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;425.0;41.0;467.0;7.0;478.0
Darwin (C);2016;Northern Territory;;Samoan;;22.0;0.0;26.0;0.0;26.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Other(d);;105.0;3.0;107.0;0.0;104.0
Darwin (C);2016;Northern Territory;Chinese languages;Cantonese;;440.0;149.0;587.0;6.0;591.0
Darwin;2021;Northern Territory;Chinese languages;Cantonese;;493.0;136.0;629.0;3.0;626.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Hindi;;526.0;15.0;542.0;4.0;544.0
Darwin;2021;Northern Territory;;Persian (excluding Dari);;63.0;0.0;67.0;0.0;65.0
Darwin (C);2016;Northern Territory;;Greek;;2268.0;481.0;2747.0;35.0;2790.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Sinhalese;;657.0;23.0;681.0;8.0;684.0
Darwin;2021;Northern Territory;Indo-Aryan languages;Nepali;;2280.0;108.0;2385.0;14.0;2401.0
Darwin (C);2016;Northern Territory;Southeast Asian Austronesian languages;Tagalog;;1687.0;62.0;1747.0;20.0;1767.0
Darwin (C);2016;Northern Territory;Indo-Aryan languages;Other(d);;1111.0;90.0;1204.0;7.0;1210.0
