animal_breed;offence;infringment_date;suburb_name
Great Dane;Dog at Large;2019-03;STUART PARK
American Staffordshire Terrier;Dog at Large;2019-03;THE NARROWS
Staffordshire Bull Terrier;Dog at Large;2019-03;LUDMILLA
Great Dane;Dog at Large;2018-11;MALAK
German Shepherd Dog;Dog at Large;2018-11;COCONUT GROVE
American Staffordshire Terrier;Dog at Large;2018-12;NAKARA
Bull Arab;Dog at Large;2018-12;NAKARA
Mixed Breed;Dog at Large;2019-02;JINGILI
Mixed Breed;Fail To Contain Dog;2018-04;KARAMA
Staffordshire Bull Terrier;Fail To Contain Dog;2018-01;KARAMA
Shih Tzu;Dog at Large;2019-02;LEANYER
Australian Cattle Dog;Fail To Contain Dog;2019-01;PARAP
Staffordshire Bull Terrier;Fail To Contain Dog;2019-01;PARAP
Rottweiler;Dog Attack Level 1;2019-04;WAGAMAN
Staffordshire Bull Terrier;Dog Attack Level 2;2019-03;JINGILI
Bullmastiff;Fail To Contain Dog;2019-03;RAPID CREEK
Labrador;Fail To Contain Dog;2019-03;NIGHTCLIFF
Heeler;Dog at Large;2019-03;LUDMILLA
Mixed Breed;Dog at Large;2019-03;BERRIMAH
Australian Bulldog;Dog at Large;2019-03;RAPID CREEK
Bullmastiff;Dog at Large;2019-03;WULAGI
German Shepherd Dog;Fail To Contain Dog;2019-03;COCONUT GROVE
Pinscher;Dog at Large;2019-03;BAYVIEW
Heeler;Dog at Large;2019-03;NAKARA
Dingo;Dog at Large;2019-04;NIGHTCLIFF
Terrier;Dog at Large;2019-04;ANULA
American Staffordshire Terrier;Dog at Large;2018-11;MALAK
Staffordshire Bull Terrier;Dog at Large;2019-05;JINGILI
German Short Haired Pointer;Dog at Large;2019-05;MARRARA
Bull Arab;Dog at Large;2019-05;MALAK
Papillon;Dog at Large;2018-11;FANNIE BAY
German Shepherd Dog;Dog at Large;2019-06;WAGAMAN
Staffordshire Bull Terrier;Dog at Large;2019-06;MOIL
Australian Cattle Dog;Dog at Large;2019-06;WULAGI
Mixed Breed;Dog at Large;2019-06;TIWI
Staffordshire Bull Terrier;Dog at Large;2019-06;MILLNER
Mixed Breed;Dog at Large;2018-11;ALAWA
Pit Bull Terrier;Dog at Large;2019-06;KARAMA
Mixed Breed;Dog at Large;2019-07;MARRARA
Jack Russell Terrier;Dog at Large;2019-07;STUART PARK
Pit Bull Terrier;Dog at Large;2019-07;KARAMA
Bull Arab;Dog at Large;2019-07;LYONS
Shih Tzu;Dog at Large;2019-07;NIGHTCLIFF
Mixed Breed;Dog at Large;2018-10;BRINKIN
Pit Bull Terrier;Dog at Large;2018-10;KARAMA
Shar Pei;Fail To Contain Dog;2018-12;KARAMA
Wolfhound;Dog Attack Level 2;2019-01;NAKARA
Australian Cattle Dog;Dog at Large;2019-05;MOIL
Border Collie;Fail To Contain Dog;2018-11;KARAMA
Shar Pei;Fail To Contain Dog;2018-11;KARAMA
Rhodesian Ridgeback;Dog at Large;2018-12;TIWI
Jack Russell Terrier;Fail To Contain Dog;2019-01;TIWI
Cavalier King Charles Spaniel;Unregistered Dog;2019-02;NT  0000_x000D_
Shar Pei;Unregistered Dog;2019-02;NT  0000_x000D_
Cavalier King Charles Spaniel;Unregistered Dog;2019-02;MUIRHEAD
Bull Arab;Unregistered Dog;2019-04;LEANYER
Bull Arab;Fail To Contain Dog;2019-04;KARAMA
Bullmastiff;Unregistered Dog;2019-05;ANULA
Bull Arab;Dog Attack Level 1;2019-05;NAKARA
Australian Cattle Dog;Dog at Large;2019-05;PARAP
Mixed Breed;Unregistered Dog;2019-05;MALAK
American Staffordshire Terrier;Dog Attack Level 1;2019-06;NAKARA
Staffordshire Bull Terrier;Dog Attack Level 2;2019-06;MILLNER
Boxer;Unregistered Dog;2019-05;LEANYER
Maltese;Fail To Contain Dog;2019-08;MALAK
Mixed Breed;Fail To Contain Dog;2019-09;STUART PARK
Blue Heeler;Unregistered Dog;2019-10;NIGHTCLIFF
German Shepherd Dog;Dog at Large;2019-11;LEANYER
Staffordshire Bull Terrier;Unregistered Dog;2019-12;JINGILI
Spoodle;Fail To Contain Dog;2020-01;WANGURI
Rottweiler;Fail To Comply - Conditions Registration;2019-08;WULAGI
Labrador;Fail To Contain Dog;2019-02;WAGAMAN
Shar Pei;Dog at Large;2019-03;MALAK
Husky;Dog at Large;2019-03;WAGAMAN
Husky;Dog at Large;2019-03;KARAMA
Staffordshire Bull Terrier;Dog at Large;2019-03;ANULA
Pit Bull Terrier;Dog Cause Nuisance;2019-01;LEANYER
Bull Arab;Fail To Contain Dog;2019-04;LEANYER
Kelpie;Dog at Large;2019-04;LYONS
Pit Bull Terrier;Dog at Large;2019-04;MALAK
Australian Cattle Dog;Dog at Large;2019-04;RAPID CREEK
Shih Tzu;Dog at Large;2019-04;TIWI
Pit Bull Terrier;Dog at Large;2019-04;ALAWA
Bull Arab;Dog at Large;2019-05;ANULA
English Bull Terrier;Dog at Large;2019-05;STUART PARK
Staffordshire Bull Terrier;Dog at Large;2019-05;TIWI
German Shepherd Dog;Dog at Large;2018-11;COCONUT GROVE
Great Dane;Dog at Large;2019-05;CASUARINA
Labrador;Dog at Large;2019-05;TIWI
Mixed Breed;Dog at Large;2019-05;NIGHTCLIFF
Staffordshire Bull Terrier;Dog at Large;2019-05;MARRARA
Border Collie;Abandon Dog;2019-05;ANULA
Mixed Breed;Dog at Large;2019-05;STUART PARK
Bull Arab;Dog at Large;2019-06;EAST POINT
Kelpie;Dog at Large;2019-06;JINGILI
Mixed Breed;Dog at Large;2019-06;LEANYER
Kelpie;Dog at Large;2019-06;MALAK
Staffordshire Bull Terrier;Dog at Large;2019-06;MILLNER
Pointer;Dog Attack Level 2;2019-04;WULAGI
Pit Bull Terrier;Unregistered Dog;2019-04;ALAWA
Bull Terrier;Dog Attack Level 1;2019-04;TIWI
Weimaraner;Fail To Comply - Conditions Registration;2019-04;THE GARDENS
Pit Bull Terrier;Unregistered Dog;2019-04;MILLNER
Maltese;Unregistered Dog;2019-08;DARWIN
Pit Bull Terrier;Dog Attack Level 1;2019-09;MALAK
Poodle;Fail To Contain Dog;2019-09;TIWI
Staffordshire Bull Terrier;Dog at Large;2018-11;WANGURI
Bull Arab;Subsequent Attack Within 12 Months;2019-02;LEANYER
Pit Bull Terrier;Subsequent Attack Within 12 Months;2019-02;LEANYER
Staffordshire Bull Terrier;Dog Attack Level 1;2019-03;WANGURI
Shar Pei;Dog at Large;2019-08;LUDMILLA
Bull Arab;Dog at Large;2019-09;LEANYER
Bull Arab;Dog Attack Level 1;2019-08;ALAWA
American Pit Bull Terrier;Fail To Contain Dog;2019-08;JINGILI
Bull Arab;Dog Attack Level 1;2019-09;MOIL
Maltese;Unregistered Dog;2019-09;MALAK
Great Dane;Unregistered Dog;2019-09;MALAK
Bull Arab;Dog Attack Level 1;2019-10;BAYVIEW
Heeler;Dog Attack Level 1;2019-10;JINGILI
American Pit Bull Terrier;Unregistered Dog;2019-10;FANNIE BAY
Great Dane;Fail To Contain Dog;2019-11;ANULA
Great Dane;Fail To Contain Dog;2019-12;ANULA
Pointer;Dog at Large;2020-01;STUART PARK
Beagle;Dog at Large;2020-01;WULAGI
Bull Arab;Dog at Large;2020-06;LEANYER
Staffordshire Bull Terrier;Dog Attack Level 1;2020-06;JINGILI
Jack Russell Terrier;Dog at Large;2019-09;LEANYER
Great Dane;Dog at Large;2019-09;ANULA
Staffordshire Bull Terrier;Dog at Large;2019-10;MOIL
Labrador;Dog at Large;2019-10;JINGILI
Red Heeler;Dog Attack Level 1;2019-11;PALMERSTON
Mixed Breed;Unregistered Dog;2019-12;ANULA
Kelpie;Dog at Large;2020-01;KARAMA
Red Heeler;Dog Attack Level 1;2020-02;CHARLOTTE
Staffordshire Bull Terrier;Dog Attack Level 1;2020-04;JINGILI
Staffordshire Bull Terrier;Fail To Contain Dog;2020-04;JINGILI
Bull Arab;Dog Attack Level 2;2020-06;NAKARA
Bull Arab;Dog Cause Nuisance;2020-06;NAKARA
American Staffordshire Terrier;Fail To Contain Dog;2020-06;MALAK
Mixed Breed;Dog at Large;2020-06;KARAMA
German Shepherd Dog;Dog Attack Level 1;2020-08;MOIL
Mixed Breed;Dog at Large;2020-09;LUDMILLA
Shar Pei;Dog Attack Level 1;2020-08;MALAK
Shar Pei;No Licence to Keep Dogs as Required;2020-09;KARAMA
Pit Bull Terrier;Dog at Large;2020-07;ALAWA
Pit Bull Terrier;Dog Attack Level 1;2020-07;JINGILI
Cross Breed;Dog at Large;2020-08;FANNIE BAY
English Mastiff;Dog at Large;2020-09;PARAP
Border Collie;Fail To Contain Dog;2020-08;COCONUT GROVE
Unknown;Dog Attack Level 1;2020-09;\N
Mixed Breed;Dog in a Restricted Area;2021-05;PARAP
Mixed Breed;Dog Attack Level 1;2020-11;NIGHTCLIFF
Bullmastiff;Dog Attack Level 1;2021-01;MOIL
Border Collie;Dog at Large;2021-02;NAKARA
Kelpie;Dog at Large;2021-05;TIWI
Rhodesian Ridgeback;Dog Attack Level 1;2021-05;MALAK
Greyhound;Dog at Large;2021-06;FANNIE BAY
Staffordshire Bull Terrier;Dog Attack Level 1;2022-04;ALAWA
Kelpie;Dog Attack Level 1;2022-06;TIWI
Staffordshire Bull Terrier;Dog Attack Level 1;2022-07;GUNN
Bull Arab;Dog Attack Level 1;2022-07;GUNN
Mixed Breed;Dog Attack Level 1;2022-10;MALAK
Bull Arab;Dog Attack Level 1;2022-10;RAPID CREEK
English Staffordshire Bull Terrier;Fail To Contain Dog;2023-02;FANNIE BAY
Bull Arab;Dog Attack Level 1;2023-02;ANULA
Mixed Breed;Dog Attack Level 2;2023-05;JINGILI
English Staffordshire Bull Terrier;Dog Attack Level 2;2023-05;JINGILI
Staffordshire Bull Terrier;Dog at Large;2021-10;PARAP
Mixed Breed;Unregistered Dog;2022-04;JINGILI
Bull Arab;Unregistered Dog;2022-06;ALAWA
Bullmastiff;Fail To Contain Dog;2022-06;ALAWA
Bull Arab;Dog at Large;2020-10;NAKARA
Great Dane;Dog in a Restricted Area;2020-11;LARRAKEYAH
Great Dane;Unregistered Dog;2020-11;LARRAKEYAH
Rottweiler;Dog Attack Level 1;2021-01;MILLNER
Bullmastiff;Dog at Large;2021-02;LEANYER
Bandog;Dog Attack Level 1;2021-11;LYONS
Pit Bull Terrier;Dog Attack Level 1;2020-12;LUDMILLA
Dobermann;Dog Attack Level 1;2020-12;KARAMA
Mixed Breed;Dog Attack Level 1;2022-04;THE GARDENS
Bull Arab;Dog Attack Level 2;2022-08;NAKARA
British Bulldog;Fail To Contain Dog;2022-10;LUDMILLA
Kelpie;Dog Attack Level 2;2022-11;ALAWA
Blue Heeler;Unregistered Dog;2022-12;WAGAMAN
Red Heeler;Unregistered Dog;2023-01;WAGAMAN
Wolfhound;Unregistered Dog;2023-02;STUART PARK
Bullmastiff;Unregistered Dog;2023-03;KARAMA
Dingo;Fail To Comply - Conditions Registration;2023-06;COCONUT GROVE
Cross Breed;Fail To Comply - Conditions Registration;2021-09;FANNIE BAY
Bull Arab;Dog at Large;2021-01;ANULA
American Pit Bull Terrier;Dog Attack Level 1;2020-12;MILLNER
Great Dane;Fail To Contain Dog;2022-06;WULAGI
Bullmastiff;Dog Attack Level 2;2021-09;NAKARA
Pit Bull Terrier;Unregistered Dog;2021-06;ANULA
Australian Cattle Dog;Dog Attack Level 1;2021-05;NIGHTCLIFF
German Shepherd Dog;Fail To Contain Dog;2022-04;TIWI
Wolfhound;Unregistered Dog;2022-03;TIWI
Irish Wolfhound;Dog at Large;2021-11;STUART PARK
Rottweiler;Dog Attack Level 1;2022-02;GLENELLA  QLD  4740
Weimaraner;Fail To Contain Dog;2022-02;STUART PARK
Great Dane;Dog Attack Level 1;2021-09;JINGILI
American Staffordshire Terrier;Dog at Large;2021-05;NIGHTCLIFF
Border Collie;Dog Attack Level 2;2021-10;STUART PARK
Pit Bull Terrier;Unregistered Dog;2021-07;KARAMA
Rottweiler;Dog at Large;2021-05;LEANYER
Wolfhound;Dog Attack Level 1;2021-03;KARAMA
Bull Arab;Fail To Contain Dog;2021-02;FANNIE BAY
Stumpy Tail Cattle Dog;Dog at Large;2021-01;MILLNER
Chihuahua;Dog Cause Nuisance;2022-12;THE NARROWS
Mixed Breed;Unregistered Dog;2021-07;MALAK
Rhodesian Ridgeback;Unregistered Dog;2021-07;MALAK
Terrier;Dog at Large;2022-01;MALAK
Bulldog;Fail To Contain Dog;2022-04;BAYVIEW
Mixed Breed;Fail To Comply - Conditions Registration;2022-04;RAPID CREEK
Staffordshire Bull Terrier;Fail To Comply - Conditions Registration;2022-04;MILLNER
Bulldog;Unregistered Dog;2022-04;BAYVIEW
Pit Bull Terrier;Dog Attack Level 1;2022-05;WANGURI
Bullmastiff;Dog Attack Level 1;2022-05;WANGURI
Mixed Breed;Dog Attack Level 2;2022-05;MALAK
Rottweiler;Unregistered Dog;2023-02;KARAMA
Mixed Breed;Unregistered Dog;2023-02;NIGHTCLIFF
Bull Arab;Dog at Large;2023-06;RAPID CREEK
Pit Bull Terrier;Unregistered Dog;2022-12;WAGAMAN
Wolfhound;No Licence to Keep Dogs as Required;2023-02;WAGAMAN
Bull Arab;Unregistered Dog;2023-02;MALAK
Heeler;Unregistered Dog;2023-02;WAGAMAN
Mixed Breed;Unregistered Dog;2023-02;MALAK
Mixed Breed;Unregistered Dog;2023-02;JINGILI
German Shepherd Dog;Unregistered Dog;2023-03;COCONUT GROVE
Pit Bull Terrier;Unregistered Dog;2023-03;WAGAMAN
Cross Breed;Unregistered Dog;2023-03;NIGHTCLIFF
Shar Pei;Dog at Large;2023-05;TIWI
Dingo;Dog at Large;2023-06;MALAK
Cane Corso;Dog at Large;2023-07;LEANYER
Cane Corso;Unregistered Dog;2023-07;LEANYER
Pit Bull Terrier;Dog at Large;2023-08;MILLNER
Jack Russell Terrier;Dog at Large;2023-08;KARAMA
Maltese;Dog at Large;2023-08;KARAMA
Rottweiler;Dog at Large;2023-08;JINGILI
Pomeranian;Unregistered Dog;2023-08;MALAK
Mixed Breed;Unregistered Dog;2023-08;MALAK
Mixed Breed;Unregistered Dog;2023-10;LEANYER
Shar Pei;Dog Attack Level 2;2024-04;MALAK
Mixed Breed;Dog Attack Level 1;2023-10;ANULA
Kelpie;Dog at Large;2022-11;DARWIN
Pit Bull Terrier;Unregistered Dog;2023-02;ANULA
Kelpie;Dog at Large;2022-11;MILLNER
Kelpie;Fail To Contain Dog;2022-11;MILLNER
Kelpie;Unregistered Dog;2022-11;MILLNER
American Pit Bull Terrier;Unregistered Dog;2022-11;MALAK
Mixed Breed;Fail To Comply - Conditions Registration;2022-11;JINGILI
American Pit Bull Terrier;Fail To Comply - Conditions Registration;2022-11;MILLNER
German Collie;Unregistered Dog;2022-11;MILLNER
Chihuahua;Unregistered Dog;2022-10;MALAK
Wolfhound;Unregistered Dog;2022-10;MALAK
Maltese;Dog at Large;2023-09;ALAWA
Bull Arab;Unregistered Dog;2025-09;MUIRHEAD
Labrador;Fail To Contain Dog;2025-09;MUIRHEAD
Staffordshire Bull Terrier;Fail To Contain Dog;2025-12;LARRAKEYAH
Bull Arab;Fail To Contain Dog;2025-11;BRINKIN
Staffordshire Bull Terrier;Fail To Contain Dog;2025-06;LEANYER
Pit Bull Terrier;Dog Attack - Serious;2025-06;KARAMA
Great Dane;Dog Attack - Serious;2025-06;MALAK
Catahoula;Dog Attack - Aggravated;2025-05;WULAGI
Jack Russell Terrier;Fail To Contain Dog;2025-07;WULAGI
Jagdterrier;Dog Not Under Effective Control;2025-03;MALAK
Pit Bull Terrier;Fail To Comply Conditions Dangerous Dog;2025-03;KARAMA
Boxer;Unregistered Dog;2025-02;WAGAMAN
Greyhound;Fail To Contain Dog;2024-12;RAPID CREEK
Jack Russell Terrier;Fail To Contain Dog;2025-09;RAPID CREEK
American Staffordshire Terrier;Fail To Contain Dog;2025-01;LEANYER
Kelpie;Unregistered Dog;2024-11;MILLNER
Boxer;Fail To Contain Dog;2024-11;ANULA
Jack Russell Terrier;Unregistered Dog;2024-11;ANULA
Chihuahua;Dog Not Under Effective Control;2024-12;STUART PARK
Chihuahua;Unregistered Dog;2024-12;STUART PARK
Jack Russell Terrier;Unregistered Dog;2025-01;ANULA
American Pit Bull Terrier;Fail To Comply Conditions Dangerous Dog;2025-08;BRINKIN
American Pit Bull Terrier;Fail To Comply Conditions Dangerous Dog;2025-08;KARAMA
Staffordshire Bull Terrier;Fail To Comply Conditions Dangerous Dog;2025-08;MILLNER
Red Heeler;Dog Attack - Aggravated;2025-08;NAKARA
Red Heeler;Fail To Contain Dog;2025-08;NAKARA
Bull Arab;Unregistered Dog;2025-08;NAKARA
Great Dane;Dog Attack - Contact;2025-08;MALAK
Bullmastiff;Fail To Contain Dog;2024-12;KARAMA
Irish Wolfhound;Unregistered Dog;2024-12;ANULA
Staffordshire Bull Terrier;Fail To Contain Dog;2025-01;LARRAKEYAH
French Bulldog;Dog Not Under Effective Control;2025-07;LUDMILLA
French Mastiff;Unregistered Dog;2024-09;MILLNER
French Mastiff;Fail To Comply Conditions Dangerous Dog;2024-09;MILLNER
Dachshund;Dog Not Under Effective Control;2025-08;ANALA
Chihuahua;Unregistered Dog;2025-08;THE NARROWS
Pit Bull Terrier;Dog Attack - Serious;2025-08;THE NARROWS
Pit Bull Terrier;Unregistered Dog;2025-08;THE NARROWS
Staffordshire Bull Terrier;Dog Attack - Contact;2025-10;LEANYER
Pit Bull Terrier;Dog Attack - Aggravated;2025-09;COOLALINGA
Pit Bull Terrier;Dog Attack - Aggravated;2025-09;Coolalinga
American Staffordshire Terrier;Unregistered Dog;2025-04;NIGHTCLIFF
German Shepherd Dog;Unregistered Dog;2025-04;NAKARA
Border Collie;Unregistered Dog;2025-07;LUDMILLA
Dachshund;Dog Attack - Aggravated;2025-09;NIGHTCLIFF
Cane Corso;Dog Menace;2025-09;MARRARA
Novia Scotia Duck Tolling Retriever;Dog Menace;2025-08;WULAGI
Novia Scotia Duck Tolling Retriever;Fail To Contain Dog;2025-08;WULAGI
Border Collie;Fail To Comply Conditions Dangerous Dog;2025-03;ALAWA
Staffordshire Bull Terrier;Fail To Comply Conditions Dangerous Dog;2025-03;WANGURI
English Staffordshire Bull Terrier;Dog Menace;2025-03;JINGILI
Pit Bull Terrier;Fail To Contain Dog;2024-11;MALAK
Australian Cattle Dog;Fail To Contain Dog;2024-11;MALAK
Akita;Fail To Contain Dog;2024-11;NIGHTCLIFF
Kelpie;Fail To Contain Dog;2024-11;FANNIE BAY
Kelpie;Fail To Contain Dog;2025-10;RAPID CREEK
Bullmastiff;Fail To Contain Dog;2024-11;KARAMA
Chihuahua;Unregistered Dog;2025-01;MOIL
Pit Bull Terrier;Dog Attack - Serious;2025-01;NAKARA
American Pit Bull Terrier;Fail To Contain Dog;2025-02;BRINKIN
American Pit Bull Terrier;Dog Attack - Contact;2025-02;BRINKIN
Cavoodle (Toy);Dog Not Under Effective Control;2025-02;MALAK
Maltese;Fail To Contain Dog;2025-06;LEANYER
Staffordshire Bull Terrier;Dog Attack - Aggravated;2025-12;MALAK
Staffordshire Bull Terrier;Fail To Contain Dog;2025-03;LEANYER
Unknown;Unregistered Dog;2025-11;KARAMA
Staffordshire Bull Terrier;Fail To Contain Dog;2025-10;BATCHELOR
English Staffordshire Bull Terrier;Fail To Contain Dog;2025-09;LYONS
Shar Pei;Fail To Contain Dog;2025-06;TIWI
Blue Heeler;Fail To Contain Dog;2025-08;LARRAKEYAH
German Shepherd Dog;Fail To Contain Dog;2025-08;MOIL
Labrador Retriever;Unregistered Dog;2025-10;LARRAKEYAH
Bulldog;Fail To Contain Dog;2025-11;WAGAMAN
Wolfhound;Fail To Contain Dog;2025-11;MALAK
Jack Russell Terrier;Fail To Contain Dog;2025-11;WULAGI
American Staffordshire Terrier;Unregistered Dog;2025-08;WULAGI
Chihuahua;Unregistered Dog;2025-09;KARAMA
Cross Breed;Dog Menace;2025-12;KARAMA
Cross Breed;Unregistered Dog;2025-12;KARAMA
Shar Pei;Unregistered Dog;2024-03;WAGAMAN
French Mastiff;Fail To Contain Dog;2024-04;MILLNER
French Mastiff;Unregistered Dog;2024-04;MILLNER
