organisation_event;financial_year;grant_type;initiative;cash;in_kind_support;total
Kindness Shake;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Kindness Space Project;7500;0;7500
Lakeside Drive Community Garden;24/25;Environmental Grant;Growing with the Seasons community workshops based on the Gulumoerrgin seasonal calendar for sustainable planting, growing and cooking in Darwin;11910;0;11910
Larrakia Nation Aboriginal Corporation;22/23;Sponsorships;Darwin Harbour Clean up;7273;0;7273
Larrakia Nation Aboriginal Corporation;22/23;Sponsorships;NAIDOC Week;25000;45;25045
Larrakia Nation Aboriginal Corporation;24/25;Sponsorships;NAIDOC Week;25000;0;25000
Larrakia Nation Aboriginal Corporation;24/25;Reconciliation;NAIDOC Week event with Berrimah businesses;7000;0;7000
Loong Fong;22/23;Sponsorships;Hospitality Battle of Crete delegation;813;0;813
Malak Marketplace Incorporated;20/21;Community Grant;Out of Round Community Grant 2020/21 – Emerging Music;3150;0;3150
Mayala-Bol;24/25;Reconciliation;Community Engagement Program NAIDOC Week – Blak History, resilience and joy at Browns Mart;9061;0;9061
MCNT;24/25;Sponsorships;Homework club;0;950;950
Media Entertainment & Arts Alliance;21/22;Sponsorships;;1600;0;1600
Media Entertainment & Arts Alliance;22/23;Sponsorships;2022 NT Media Awards Best News Television/Radio Best News Coverage;1600;0;1600
Melaleuca Australia;21/22;Community Grant;Kushone Collective – Men Sewing and Sharing;9400;0;9400
Mission Australia;21/22;Community Grant;School Holiday Activity Equipment and Excursion Costs;3979;0;3979
Miyartiwi Dreaming;21/22;Community Grant;Makeup Skills & Empowerment Workshop for Young Women;5000;0;5000
Moogie Down Productions;21/22;Community Grant;Busking in Darwin Project;2000;0;2000
Movement and Mindset Coaching;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Mindful Movement with Marina;0;40;40
Multicultural Multigenerational Mainstream Dance;23/24;Community Grant;Darwin K-pop Random Dance 50;5000;0;5000
Nature’s Flow;19/20;Community Grant;Disabilities Yoga;2340;0;2340
Nepalese Association of Northern Territory Incorporated;19/20;COVID-19 Community Grant;Emergency support to members of Nepalese community of Darwin severely affected by COVID-19;4000;0;4000
Nightcliff Arts Music and Culture Inc;21/22;Sponsorships;;10000;1000;11000
Nightcliff Arts Music and Culture Inc;19/20;COVID-19 Community Grant;Nightcliff Seabreeze Festival 2020 @ Home;3500;0;3500
Nightcliff Seabreeze Festival;20/21;Sponsorships;;25000;0;25000
Northern Centre for Contemporary Art;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Digital Adaptation of “Portrait of a Teenage”;4100;0;4100
Northern Territory Indigenous Business Network;23/24;Sponsorships;The 11th Aboriginal Economic Development Forum;5000;0;5000
Northern Territory Multiple Births Club;22/23;Community Grant;NTMBC will be hosting a celebration event for Multiple Birth Awareness Week 2023 with food, facepainting, circus workshops and activities as part of a national campaign to raise awareness around, and draw attention to, the unique realities for multiple birth families in Australia – and how advocacy, positive education and engaged communities can contribute to enabling positive health outcomes for families with multiples.;1227;60;1287
NT Major Events – Tropical Light Bruce Munro Exhibition;19/20;Sponsorships;;5000;0;5000
NT Thai Association;24/25;Sponsorships;Thailand Grand Festival NT;2000;0;2000
NT Writers Centre;23/24;Sponsorships;2024 NT Writers’ Festival;10000;50;10050
NT Writers Centre;20/21;Community Grant;Graphic Novel Club Project;5500;0;5500
NT Writers Centre;20/21;Community Grant;Not Your Average Online Book Club;5760;0;5760
NTHAC (Northern Territory Aids and Hepatitis Council);24/25;Community Grant;Eat, Indulge, Connect: a series of supported social events for women living with HIV to connect over a meal, that aims to address some of the unique challenges faced by this community;5044;0;5044
PAWS Darwin;21/22;Operational Subsidy;;30000;0;30000
Planning Institute of Australia;24/25;Sponsorships;Northern Territory Awards for Excellence;909;0;909
Royal Australian Artillery Association (NT) Inc.;19/20;Environmental Grant;Landscaping of Gun Embankment;4200;0;4200
Royal Life Saving Australia NT Branch Inc;22/23;Sponsorships;Pipes and Drains;6000;0;6000
RSL Darwin Sub-Branch;21/22;Operational Subsidy;;28000;7000;35000
RSPCA Darwin Regional Branch;21/22;Operational Subsidy;;120000;0;120000
RSPCA Darwin Regional Branch;22/23;Operational Subsidy;;120000;0;120000
Sea Shepherd Darwin;24/25;Sponsorships;Sea Shepherd beach clean-up and merchandise selling;0;61;61
Shaun Francis;24/25;Reconciliation;NAIDOC Week mural celebrating dual Nichols Medallist Ted Cooper at Wanderers Football Club;4545;0;4545
Skippers at Dundee Pty Ltd;23/24;Sponsorships;City of Darwin Skippers Cotton Cup;10000;0;10000
Sri Lankan Australian Friendship Association;24/25;Community Grant;Sri Lankan New Year Festival: community-driven cultural event in the Gardens aimed at celebrating the rich traditions of the Sinhala and Tamil New Year in April, including a range of free public events such as cultural games, religious rituals and cultural celebrations, all designed to showcase Sri Lankan heritage while promoting inclusion and harmony across diverse communities in NT;9500;0;9500
Sri Lankan Australian Friendship Association;19/20;COVID-19 Community Grant;SLAFA-City of Darwin COVID-19 Support;4000;0;4000
St John Ambulance Australia (NT) Inc;19/20;Community Grant;Darwin City AED Project;5000;0;5000
St. Thomas Jacobite Syrian Orthodox Church Inc.;23/24;Community Grant;Easter;5000;0;5000
Storm PT;24/25;Sponsorships;Healthy Darwin 2025 dry season weekly activity – Beginners’ HIIT (13 sessions);0;177;177
Stuart Park Childcare Centre;23/24;Environmental Grant;Implement landscaping and passive cooling strategies to enhance climate resilience and educate other childcare centres;21000;0;21000
Studio G Darwin;21/22;Arts Grant;Happy Place;4500;0;4500
Sugarbag Incorporated;24/25;Community Grant;Sugarbag Festival Bick Park: free arts and culture all-ages event in May that activates Austin Lane, in the heart of Darwin City, providing a platform for the community to come together and celebrate local talents. Part of the LGBTQIA+ led Sugarbag festival;10000;0;10000
Surf Life Saving Northern Territory;24/25;Sponsorships;Beach Lifesaving service operating sponsorship;30000;0;30000
Surf Life Saving Northern Territory;20/21;Operational Subsidy;;30000;0;30000
Table Tennis NT;23/24;Sponsorships;2023 Table Tennis Youth Contender Darwin;5500;0;5500
Table Tennis NT;24/25;Sponsorships;WTT Youth Contender Darwin;10000;0;10000
Team Aquarium;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Try a Tri This Dry!;0;60;60
The Darwin City Brass Band Association Incorporated;24/25;Sponsorships;Darwin City Brass Band – service delivery – Music for the Community;30000;0;30000
Darwin Festival;21/22;Sponsorships;;150000;18000;168000
Darwin Festival;22/23;Sponsorships;Darwin Festival;150000;0;150000
The Korean Association in Australia Northern Territory Incorporated;23/24;Community Grant;Northern Territory K-Pop contest;5000;0;5000
The Royal Agricultural Society of Northern Territory Inc;22/23;Sponsorships;Royal Darwin Show;15000;0;15000
Timor Leste Consulate Office;24/25;Sponsorships;Cultura de Timor Leste;500;0;500
Tokyo Crepes Couture;24/25;Sponsorships;Bundilla activation;2440;0;2440
Top End Mustangs Inc;21/22;Arts Grant;Line Dancing for Community Members;2971;0;2971
Top End Pride NT Incorporated;23/24;Community Grant;Darwin Pride 2024 – Pride March;5000;0;5000
Tourism Top End;21/22;Operational Subsidy;;100000;0;100000
Two Two One Mental Health Charity;21/22;Community Grant;Boys Night @ The SHAK;5000;0;5000
Viva Latin America Festival;24/25;Sponsorships;Viva Latin America Festival;0;704;704
Waste Energy Benefits US;24/25;Environmental Grant;Reusable foodware, seating and commercial dishwashing setup at Nightcliff Market to reduce single-use packaging waste;10000;0;10000
Wildcare Inc.;19/20;COVID-19 Community Grant;Storage for COVID-19 supplies;2900;0;2900
Writer, Producer Angelo Raza;24/25;Sponsorships;Promised Land Films PTY – Promising Land, The Northern Stars;1000;0;1000
YWCA Australia;24/25;Community Grant;Two barista training workshops for young mothers participating in Connected Families and Young Mums Strong Mums programs. The young mothers are under 30 years old, unemployed, and most have experienced domestic and family violence and trauma;7600;0;7600
Alexandra Edmondson;21/22;Arts Grant;Made Are We;2640;0;2640
Alliance Française de Darwin Incorporated;24/25;Community Grant;French language classes through song, reading and play for babies, children and their parents. An opportunity for interested English-French bilingual families to meet and connect;2977;0;2977
Anna Thomson;21/22;Arts Grant;Darwin Fringe Variety Showcase Development;5000;0;5000
Armistice Day Campaign;21/22;Street Light Banner;Free waived fee award;0;4864;4864
Artback Incorporated;21/22;Community Grant;Tangan – Building a Collective;10000;0;10000
ASMY;24/25;Sponsorships;Healthy Darwin 2024–25 wet season weekly activity (Oct–Mar) – Hatha yoga and mantra (24 sessions);0;960;960
Australian Association for Environmental Education NT;19/20;Environmental Grant;Sustaining Urban and Peri-urban Endangered Reptiles – SUPER;5000;0;5000
Brown’s Mart Arts Ltd;22/23;Sponsorships;Browns Mart;10000;0;10000
Brown’s Mart Arts Ltd;24/25;Sponsorships;Brown’s Mart annual programs and services including performance, arts and community, and hire;10000;0;10000
Browns Mart Shimmer;20/21;Sponsorships;;10000;0;10000
CAAPS Aboriginal Corporation;22/23;Community Grant;CAAPS will partner with Library For All (LFA) in the facilitation of four workshops to create original children’s book manuscripts. LFA’s expert staff will coach and guide Aboriginal and Torres Strait Islander participants to turn a good yarn into a great manuscript that may become a children’s book to support literacy attainment.;10000;0;10000
Cancer Council;24/25;Sponsorships;Dispose of green waste from a patchadine;0;981;981
Carols by Candlelight;19/20;Sponsorships;;30000;0;30000
Carols by Candlelight;20/21;Operational Subsidy;;30000;0;30000
Charles Darwin University;24/25;Sponsorships;National Association of Enabling Educators of Australia Conference 2024;0;891;891
Christmas in Darwin Association;24/25;Sponsorships;Carols by Candlelight 2024;31530;0;31530
Chung Wah Society;23/24;Cyclone Tracy 50th Anniversary Commemoration Grants;Exhibit at NT Chinese Museum;4500;0;4500
COOLmob, a project of the Environment Centre NT;19/20;Environmental Grant;COOLmob Sustainable Apartments Project;7895;0;7895
Corrugated Iron Youth Arts;24/25;Sponsorships;Office 3–6 Airconditioning annual servicing;0;1147;1147
Cruising Yacht Association of the Northern Territory;24/25;Sponsorships;Darwin Dill Yacht Rally Farewell Dinner;5000;0;5000
Cruz Vermelha De Timor-Leste;20/21;Community Grant;International Business Relationships – Sister City Community;10000;0;10000
Darwin Aboriginal Art Fair Foundation;21/22;Sponsorships;;10000;0;10000
Darwin Chorale;24/25;Sponsorships;Darwin Chorale Mary Poppins production;0;1418;1418
Darwin City and Waterfront Retailers Association;19/20;Operational Subsidy;;50000;27280;77280
Darwin City Brass Association;22/23;Operational Subsidy;;30000;0;30000
Darwin City Brass Band;21/22;Operational Subsidy;;30000;0;30000
Darwin City Brass Band;23/24;Operational Subsidy;;30000;0;30000
Darwin Community Arts Incorporated;22/23;Community Grant;Socialise use stories to encode complex information and is passed from generation to generation. The project will invite people from the Darwin area to submit their stories, to be curated into exhibition events taking place during September. Participants will be able to submit through any artform of their choice with a story to tell. The “Through Our Eyes” Darwin Community Arts will provide pre-submission support by working with interpreters, bicultural workers, caseworkers and other people around a participant, together, to ensure that all community members have the confidence to be part and also fully understand what the project is about.;5875;0;5875
Darwin Community Arts Incorporated;19/20;COVID-19 Community Grant;CemeNtStars Disability CONNECT Project;5000;0;5000
Darwin Community Arts Incorporated;20/21;Environmental Grant;CC&E Community Grant – Darwin Plastic Makers Space (Recycled Floor);5500;0;5500
Darwin Community Legal Service;20/21;Community Grant;Payment of Out-of-Round Community Grant 2020/21 – Human Rights Arts Award;1352;0;1352
Darwin Cycling Club Incorporated;23/24;Sponsorships;Subbuild Top End Gran Fondo;10000;0;10000
Darwin Entertainment Centre;19/20;Operational Subsidy;;580000;0;580000
Darwin Entertainment Centre;20/21;Other;Pandamonia Art Award – Emerging Art Prize Sponsorship;2000;0;2000
Darwin Festival;19/20;Sponsorships;;150000;15000;165000
Darwin Fringe Festival;19/20;Sponsorships;;8500;1500;10000
Darwin Fringe Festival;22/23;Sponsorships;Darwin Fringe Festival;10000;0;10000
Darwin Fringe Festival;23/24;Sponsorships;Darwin Fringe Festival;10000;145;10145
Darwin Men’s Shed;19/20;Community Grant;Men’s Shed – A Safe Place to Attend and Work;7775;0;7775
Darwin Men’s Shed;22/23;Community Grant;To expand the food storage and meal preparation options for the members attending and facilitating conversations and connection through sharing a meal.;3620;0;3620
Darwin RSL Sub-Branch;24/25;Sponsorships;Remembrance Day;0;690;690
Darwin Show;19/20;Sponsorships;;12000;0;12000
Darwin Singers;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Lounge to Laps;0;32;32
Darwin Skills Development Scheme;23/24;Operational Subsidy;;35000;0;35000
Darwin Symphony Orchestra;24/25;Sponsorships;Amphitheatre Concert;10000;0;10000
Dawn Beasley;21/22;Arts Grant;Botanically Creative;5000;0;5000
Department of Industry Tourism and Trade NT;22/23;Sponsorships;October Business Month 2022;3000;0;3000
Desexing Assistance and Community Support;24/25;Community Grant;Doggy Desexing Month: working with vet clinics across the NT to support the community to desex and microchip their much loved family dogs and cats in Karama, Malak and Moil, where there are identified animal management issues;10000;0;10000
Digital Inclusions Northern Australia;20/21;Community Grant;Building Darwin’s Digital Capacity and Confidence in the Online World;10000;0;10000
DJFit 4 Life;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Empowering Women;0;320;320
Emily Claire Yoga;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Yoga in the Park;0;320;320
Enterprise Learning Projects;24/25;Reconciliation;Impact North Reconciliation Week Change Maker event;10000;0;10000
Environment Centre NT;20/21;Environmental Grant;Resilient Resources for Community;7760;0;7760
Environment Centre NT;21/22;Community Grant;Create from Waste Workshop Series;3900;0;3900
Epic Events and Marketing;21/22;Sponsorships;;10000;0;10000
Flinders University;24/25;Sponsorships;World Archaeological Congress Cultural Festival;8000;0;8000
Foldback Magazine Incorporated;22/23;Sponsorships;Imagine Seaside Carnival;11000;324;11324
Football NT;22/23;Sponsorships;Traffic management assessment;0;45;45
Football NT;24/25;Community Grant;Refugee World Cup: annual event celebrated on Australia Day where over 1,000 Darwin locals from diverse backgrounds and with diverse attributes come together to play football. Held at Marrara Football Stadium in January – a free event;6860;0;6860
Forrest, Rebecca Kathleen;20/21;COVID-19 Community Grant;Community Grant Program 2020/21 – COVID-19 Response;3000;0;3000
Free Space Studio;19/20;Community Grant;The Open House;5000;0;5000
Genetic Cures for Kids;24/25;Sponsorships;Darwin Moonwalk for Our Moons Mission;0;50;50
Girl Guides NT Inc;19/20;Environmental Grant;Trees, Vegetable and Herb Gardens;1900;0;1900
Growing and Using Local Produce (GULP NT);19/20;Community Grant;Cultural Connections and Campfires;3600;0;3600
Happy Yess Community Arts Inc.;23/24;Community Grant;A ‘bloody good celebration’;5000;0;5000
Healthy Living NT;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Power Up;0;320;320
Hindu Society of NT;21/22;Community Grant;Hindu Food Festival;9850;0;9850
Indian Cultural Society Darwin Inc;24/25;Sponsorships;India at Mindil;5000;0;5000
Integrated Disability Action;20/21;COVID-19 Community Grant;COVID-19 Response Grant – Working Remotely;3748;0;3748
Integrated Disability Action;19/20;Community Grant;Peer Support Program;5000;0;5000
Kids Can Incorporated;20/21;Community Grant;Amazing Miss Deb;7065;0;7065
Kim Koole Music;21/22;Arts Grant;Recording and release of new work;5000;0;5000
Kyle Wamsley, auspiced by Browns Mart;19/20;COVID-19 Community Grant;Lower the Bar – a community mobile, site specific, live performance delivery service;2000;0;2000
Lakeside Drive Community Garden;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Individual and Group Garden Plots;3208;0;3208
Landcare NT;23/24;Sponsorships;Native Flora, Fauna and Biodiversity Science Education Program;20000;0;20000
Larrakia Nation Aboriginal Corporation;20/21;Community Grant;Out-of-round Community Grant for NAIDOC Week;5000;0;5000
Larrakia Nation Aboriginal Corporation;21/22;Sponsorships;;5000;0;5000
Larrakia Nation Aboriginal Corporation;21/22;Environmental Grant;Contribution to Darwin Harbour Clean Up 2022;5000;0;5000
Larrakia Nation Aboriginal Corporation;24/25;Sponsorships;Darwin Harbour clean-up;8000;0;8000
Limitless Kinetic Fitness;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Outdoor Bootcamp;0;320;320
Menzies School of Health Research;23/24;Community Grant;Supporting the wellbeing of First Nations renal patients;5000;0;5000
Mission Australia;19/20;Community Grant;Café One;4328;0;4328
Movement and Mindset Coaching;24/25;Sponsorships;Healthy Darwin 2025 dry season program – Foam roller fundamentals (2 sessions);0;177;177
Movement and Mindset Coaching;24/25;Sponsorships;Healthy Darwin 2024 dry season – Unlock the Power of Rest (1 session);0;90;90
Multicultural Council NT;23/24;Sponsorships;Wed weekly Homework Club – school terms (2.45–5.15pm);0;350;350
Multicultural Multigenerational Mainstream Dance;24/25;Community Grant;The Afrobeats Dance Project provides opportunities for people of African backgrounds to learn, practice and perform their dances by connecting with dance leaders of the African community and providing them with safe spaces, equipment, supervision and administrative services;8140;0;8140
Nakara Primary School;24/25;Environmental Grant;Eco Warrior program to trial classroom recycling and composting sessions and a Community Swap Day, providing resources for other schools to implement similar programs;1600;0;1600
Neighbourhood Watch NT (NHWNT);23/24;Community Grant;Youth and Families Movie Screening;5000;0;5000
Nicole Brown, auspiced by Miyartiwi Dreaming Ltd;22/23;Community Grant;Various events in the community requiring traffic management, event facilitation, entertainers and food.;2150;0;2150
Nightcliff Arts Music and Culture Inc;20/21;Environmental Grant;Sustainable Event Guides;9000;0;9000
Nightcliff Community Early Learning Centre;21/22;Community Grant;Kitchen Garden Project;3270;0;3270
Nightcliff Seabreeze Festival;19/20;Sponsorships;;25000;8000;33000
Northern Territory Indigenous Business Network;22/23;Sponsorships;The 11th Aboriginal Economic Development Forum;10000;0;10000
Northern Territory Working Women’s Centre Incorporated;22/23;Community Grant;This is a celebration of family and community. The opportunity for the people of Darwin to celebrate and reward their Hidden Heroes, who have supported us through the pandemic with food, music, indigenous art workshop, fun and games.;9830;170;10000
NT Writers Centre;20/21;Sponsorships;;15000;0;15000
OJFit4Life;22/23;Sponsorships;Healthy Darwin Dry Season – Empowering Women;0;149;149
Parap Primary School;19/20;Environmental Grant;Boomerang Bags;645;0;645
Parap Village Traders Associations;19/20;Environmental Grant;Bring your own, wash and reuse / recycle;2664;0;2664
PAWS Darwin;23/24;Operational Subsidy;;30000;0;30000
Planning Institute of Australia;22/23;Sponsorships;PIA Northern Territory Awards for Planning Excellence;1000;0;1000
Proper Creative;22/23;Sponsorships;Street Art Festival;0;8202;8202
Proper Creative;24/25;Sponsorships;DSAF After Dark;20000;0;20000
Rachael Ball;24/25;Sponsorships;Healthy Darwin 2025 dry season program – Sunrise yoga and meditation (6 sessions);0;177;177
Returned & Services League of Australia SA Branch, Darwin Sub-Branch;24/25;Sponsorships;ANZAC Day dawn service and city parade;28000;6363;34363
Royal Agricultural Society of NT Inc;23/24;Sponsorships;Royal Darwin Show;16500;0;16500
RSPCA Darwin Regional Branch;20/21;Operational Subsidy;;120000;0;120000
RSPCA Darwin Regional Branch;23/24;Operational Subsidy;;125488;0;125488
RSPCA Darwin Regional Branch;24/25;Sponsorships;RSPCA operating sponsorship;120000;0;120000
SLIDE Youth Dance Theatre;19/20;COVID-19 Community Grant;Participation Project and Development Work for Post COVID-19 events re engagement 2020;5000;0;5000
Southern Cross Care;23/24;Sponsorships;Healthy Darwin 2023 Dry Season – Healthy Darwin in Motion;0;320;320
St John Ambulance Australia (NT) Inc;23/24;Cyclone Tracy 50th Anniversary Commemoration Grants;Create interpretive signage;5000;0;5000
St John Ambulance Australia (NT) Inc;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – NT Cadet Youth Development Program;3075;0;3075
Storm PT;24/25;Sponsorships;Healthy Darwin 2024–25 wet season weekly activity (Oct–Mar) – Beginners HIIT (24 sessions);0;960;960
Storm PT;24/25;Sponsorships;Healthy Darwin 2024 dry season weekly activity (July–Sept) – HIIT in the park (13 sessions);0;177;177
Super Ageing;24/25;Sponsorships;Healthy Darwin 2024–25 wet season weekly activity (Oct–Mar) – Fitness for independence (24 sessions);0;960;960
Surf Life Saving Northern Territory;22/23;Operational Subsidy;;30000;0;30000
Surf Life Saving Northern Territory;23/24;Operational Subsidy;;30000;0;30000
Surf Life Saving Northern Territory;21/22;Operational Subsidy;;30000;0;30000
Swimming Northern Territory Incorporated;22/23;Sponsorships;2023 NT Open and Age Championships;10500;0;10500
Table Tennis NT;22/23;Sponsorships;World youth table tennis qualifying championship;40000;0;40000
Tennis NT;21/22;Community Grant;Community Tennis Celebration Day – International Day of Persons with Disabilities;1702;0;1702
Territory Fitness Group;24/25;Sponsorships;Healthy Darwin 2024 dry season weekly activity (July–Sept) – BoxFit bootcamp (13 sessions);0;177;177
Territory Fitness Group;24/25;Sponsorships;Healthy Darwin 2025 dry season weekly activity – BoxFit bootcamp (11 sessions);0;177;177
Territory Native Plants;24/25;Environmental Grant;NT Native Eco Fair event at Jingili Watergardens, including informational stalls, walks and talks focused on biodiversity, greening and cooling;10596;0;10596
Thai Tasty NT;24/25;Sponsorships;Bundilla activation;2720;0;2720
The Array;23/24;Sponsorships;12 months loan of office furniture and equipment;0;2500;2500
The Array;24/25;Sponsorships;The Array welcome initiative;0;9818;9818
The Beat Festival;19/20;Sponsorships;;10000;0;10000
The Beat Festival;20/21;Sponsorships;;10000;0;10000
The Northern Territory of Australia;24/25;Sponsorships;October Business Month;6000;0;6000
The Royal Agricultural Society of Northern Territory Inc;24/25;Sponsorships;Royal Darwin Show;15000;0;15000
Top End Rehoming Group Inc.;19/20;Community Grant;Animal Desexing Program;10000;0;10000
Top End Zumba Crew;22/23;Sponsorships;Healthy Darwin Dry Season – Zumba & Fitness;0;221;221
Total Recreation NT Inc;19/20;COVID-19 Community Grant;Inclusive Online Fitness;3922;0;3922
Tourism Top End;19/20;Operational Subsidy;;100000;0;100000
Tourism Top End;22/23;Sponsorships;Visitor Information Centre;87500;0;87500
Tourism Top End;23/24;Sponsorships;Visitor Information Centre;87500;7835;95335
Tourism Top End;24/25;Sponsorships;Top End Visitor Information Centre;90000;0;90000
Tracks Dance Company;20/21;COVID-19 Community Grant;"COVID-19 Response Grants Round 2 – Dead Singers Dance Society; A Bollywood Awakening";7390;0;7390
Two Two One Mental Health Charity;23/24;Community Grant;Mental Health Night School;10000;0;10000
Two Two One Mental Health Charity;24/25;Sponsorships;Healthy Growth for Businesses;1500;0;1500
United Muslims of Northern Territory;21/22;Arts Grant;Islamic Calligraphy Arts Workshop 2022 – Turning imagination into artwork;5000;0;5000
Variety – The Children’s Charity;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Christmas in July Santa Fun Run Program;3636;0;3636
Variety – The Children’s Charity;24/25;Community Grant;Community Celebration 25 Years: held during June school holidays in Jingili Watergardens to celebrate 25 years of supporting teenagers with disabilities. Event offerings include an afternoon of fun-filled activities such as art and craft, basketball, dance and music;3096;240;3336
